Num_Circo;Nom;Prenom;Nb_Voix
001-01;BRETON;Xavier;24407
001-01;GUÉRAUD;Sébastien;14202
001-02;DAUBIÉ;Romain;24960
001-02;LAPRAY;Lumir;17824
001-03;GIVERNET;Olga;18398
001-03;JOLIE;Christian;12932
001-04;BUISSON;Jérôme;22601
001-04;LERDA;Philippe;13696
001-05;ABAD;Damien;17687
001-05;PISANI;Florence;12882
002-01;DRAGON;Nicolas;17058
002-01;BONO-VANDORME;Aude;14208
002-02;DIVE;Julien;17463
002-02;PUISSANT;Lola;12558
002-03;BRICOUT;Jean-Louis;15586
002-03;HANSEN-CATTA;Paul-Henry;12836
002-04;BEAURAIN;José;17587
002-04;DELATTE;Marc;13187
002-05;DESSIGNY;Jocelyn;20589
002-05;FRERE;Stéphane;12403
003-01;MONNET;Yannick;21832
003-01;BARBARIN;Michel;17496
003-02;BOVET;Jorys;16116
003-02;HERITIER;Louise;15976
003-03;RAY;Nicolas;19296
003-03;PEYROL;Bénédicte;12347
004-01;GIRARD;Christian;14791
004-01;BAGARRY;Delphine;14100
004-02;WALTER;Léo;16063
004-02;CASTANER;Christophe;15134
005-01;BOYER;Pascale;13767
005-01;PHILIPPO;Michel;13568
005-02;GIRAUD;Joel;15058
005-02;MOUNAL;Capucine;11550
;;;
006-02;TIVOLI;Lionel;18557
006-02;DOMBREVAL;Loïc;17369
006-03;PRADAL;Philippe;19043
006-03;GIUSTI;Enzo;14111
006-04;MASSON;Alexandra;19487
006-04;VALETTA-ARDISSON;Alexandra;15185
;;;
006-06;MASSON;Bryan;17564
006-06;MION;Jean-Bernard;16642
006-07;PAUGET;Eric;22496
006-07;MELE;Eric;15738
006-08;MARTIN;Alexandra;21547
006-08;DESENS;Jean-Valéry;9557
006-09;TABAROT;Michèle;19955
006-09;GALBERT;Franck;11691
007-01;SAULIGNAC;Hervé;21550
007-01;PORQUET;Céline;14339
007-02;DUSSOPT;Olivier;25684
007-02;GOULOUZELLE;Christophe;17955
007-03;BRUN;Fabrice;24896
007-03;PALLOT;Florence;18697
008-01;VUIBERT;Lionel;14861
008-01;RICHARD;Laurent;14663
008-02;CORDIER;Pierre;15977
008-02;PHILIPPO;Baptiste;7049
008-03;WARSMANN;Jean-Luc;15575
008-03;LEMOINE;David;7415
009-01;TAURINE;Bénédicte;14746
009-01;TRIBOUT;Anne-Sophie;11917
009-02;PANIFOUS;Laurent;16225
009-02;LARIVE;Michel;12383
010-01;GUITTON;Jordan;16093
010-01;BESSON-MOREAU;Grégory;13770
010-02;BAZIN-MALGRAS;Valérie;19730
010-02;HENRY;Evelyne;13426
010-03;RANC;Angélique;13913
010-03;BEURY;Loëtitia;13024
011-01;BARTHÈS;Christophe;23914
011-01;COURRIÈRE CALMON;Sophie;20733
011-02;FALCON;Frédéric;20719
011-02;PEREA;Alain;18724
011-03;RANCOULE;Julien;22725
011-03;ADDA--NETTER;Johanna;19894
012-01;MAZARS;Stéphane;23137
012-01;THEBAULT;Léon;13113
012-02;ALEXANDRE;Laurent;17352
012-02;DEGUARA;Samuel;16675
012-03;ROUSSET;Jean-François;18835
012-03;RHIN;Michel;16234
013-01;AGRESTI ROUBACHE;Sabrina;15459
013-01;GRISETI;Monique;14980
013-02;PITOLLAT;Claire;22005
013-02;RUPNIK;Alexandre;13697
013-03;LELOUIS;Gisèle;14300
013-03;BENSAADA;Mohamed;11718
013-04;BOMPARD;Manuel;17118
013-04;AKODAD;Najat;6040
013-05;DAVI;Hendrik;17295
013-05;RACON-BOUZON;Cathy;13240
013-06;ROYER-PERREAUT;Lionel;16646
013-06;BEZ;Éléonore;12110
013-07;DELOGU;Sébastien;11960
013-07;SELLOUM;Arezki;6531
013-08;ZULESI;Jean-Marc;22823
013-08;TONUSSI;Romain;20104
013-09;MÉLIN;Joëlle;23757
013-09;TROTTMANN;Lucas;16756
013-10;GONZALEZ;José;27463
013-10;MESURE;Marina;18598
013-11;LAQHILA;Mohamed;20753
013-11;FABRE-AUBRESPY;Hervé;16850
013-12;ALLISIO;Franck;19175
013-12;DIARD;Eric;18154
013-13;DHARRÉVILLE;Pierre;20105
013-13;FOUQUART;Emmanuel;18548
013-14;PETEL;Anne-Laurence;24245
013-14;LE CACHEUX;Hélène;18404
013-15;BAUBRY;Romain;25640
013-15;ANZALONE;Marie-Laurence;21975
013-16;TACHE DE LA PAGERIE;Emmanuel;20820
013-16;CAILLAULT;Christophe;17077
014-01;LE VIGOUREUX;Fabrice;18496
014-01;FOURREAU;Emma;18296
014-02;DELAPORTE;Arthur;18963
014-02;DUMONT PRIEUX;Sylvie;12716
014-03;PATRIER-LEITUS;Jérémie;18545
014-03;VILMET;Martine;16120
014-04;BLANCHET;Christophe;28920
014-04;MOURARET;Pierre;18427
014-05;BOUYX;Bertrand;24235
014-05;HAREL;Valérie;19288
014-06;BORNE;Elisabeth;23435
014-06;GAUCHARD;Noé;21233
015-01;DESCOEUR;Vincent;18165
015-01;TEYSSEDOU;Michel;8152
015-02;BONY;Jean-Yves;15443
015-02;GUIBERT;Martine;6416
016-01;MESNIER;Thomas;18854
016-01;PILATO;René;18830
016-02;MARSAUD;Sandra;19964
016-02;RAPPASSE;Marceau;16228
016-03;COLOMBIER;Caroline;19980
016-03;MOCOEUR;Sylvie;19787
017-01;FALORNI;Olivier;34576
017-01;SOUBESTE;Jean-Marc;17721
017-02;BABAULT;Anne-Laure;25863
017-02;RAYMOND;Nordine;24107
017-03;ARDOUIN;Jean-Philippe;18295
017-03;COLLARD;Nathalie;17452
017-04;GERARD;Raphaël;21447
017-04;MARKOWSKY;Pascal;20685
017-05;PLASSARD;Christophe;28233
017-05;WERBROUCK;Séverine;26336
018-01;CORMIER BOULIGEON;François;17116
018-01;CHARPENTIER;Alex;12840
018-02;SANSU;Nicolas;14433
018-02;POLY;Christine;12113
018-03;KERVRAN;Loïc;20435
018-03;DE LA TOCNAYE;Thibaut;16767
019-01;DUBOIS;Francis;25825
019-01;DEVEAUD;Sandrine;22173
019-02;MEUNIER;Frédérique;25881
019-02;HERZHAFT;Chloé;18433
02A-01;MARCANGELI;Laurent;12013
